year,n_test,base_rate_test,auroc,ks,brier,calib_slope
2007,599,0.2637729549248748,0.4762837624501278,0.11462728551336143,0.22718303125241063,-0.014803525394651884
2008,2393,0.20727120768909318,0.5753752742020507,0.1258927508629925,0.1833667998939336,0.039658290575574365
2009,4850,0.13628865979381444,0.5239041882258446,0.05046066547751854,0.13238266577747237,0.008273774063350193
2010,6000,0.13783333333333334,0.53767071654491,0.06406345289734555,0.12792239273915545,0.01572330660281061
2011,6000,0.15533333333333332,0.5290161105107871,0.04517531528296709,0.1396101076037356,0.016123129400208713
2012,6000,0.1635,0.5156889040809044,0.04414235081004114,0.14747826936699013,0.004911804970975158
2013,6000,0.15166666666666667,0.5301627841706427,0.05996027548090421,0.1365330146709559,0.013215142070537226
2014,6000,0.187,0.5269760407051485,0.04903166678725612,0.15845892156115632,0.01784831643941059
2015,6000,0.197,0.5278231694597038,0.04432089478331047,0.1675148860969725,0.023911217615448035
2016,6000,0.23633333333333334,0.5478245806396403,0.08227601844219024,0.18686272337977092,0.04210439818190069
2017,6000,0.2265,0.5380753875105257,0.07180838033973991,0.18518169877075616,0.02254105428919387
2018,6000,0.1245,0.6107942143598188,0.16582836199165596,0.12125434576020874,0.02402435133955147
